entry_number,line_number,importer_id,hts10,description,import_date,entry_date,quantity,uom,entered_value,duty_base,duty_301,duty_232,duty_ieepa,mpf,hmf,ad_cvd,excise,country_of_origin,liquidated
APX-0002049,1,47-3319008,8504409522,"Static converters (power supplies), other",2025-05-14,2025-05-15,1000,No.,140000.00,2100.00,35000.00,0,0,484.96,175.00,0,0,CN,Y
APX-0008000,1,47-3319008,7326908635,"Other articles of iron or steel, other",2025-05-15,2025-05-16,800,No.,96000.00,2784.00,24000.00,24000.00,0,332.54,120.00,0,0,CN,Y
APX-0002154,1,47-3319008,8534000046,Printed circuits,2023-12-04,2023-12-04,100,No.,9000.00,0,2250.00,0,0,31.18,11.25,0,0,CN,Y
APX-0002078,1,47-3319008,8537100002,"Boards/panels for electric control, <= 1,000 V",2022-02-16,2022-02-21,50,No.,4500.00,121.50,1125.00,0,0,15.59,5.63,0,0,CN,Y
APX-0002077,1,47-3319008,9030890097,"Instruments for measuring electrical quantities, other",2025-02-01,2025-02-01,1500,No.,90000.00,1440.00,22500.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002017,1,47-3319008,8538900064,"Parts for switching/protecting electrical circuits, other",2025-12-27,2025-12-31,250,No.,120000.00,4200.00,30000.00,30000.00,0,415.68,150.00,0,0,CN,Y
APX-0002065,1,47-3319008,8525890028,"Television cameras, digital cameras, other",2023-06-23,2023-06-23,250,No.,120000.00,2640.00,30000.00,30000.00,0,415.68,150.00,0,0,CN,Y
APX-0002086,1,47-3319008,8525890022,"Television cameras, digital cameras, other",2025-05-27,2025-05-30,600,No.,540000.00,11880.00,135000.00,0,0,1870.56,675.00,0,0,CN,Y
APX-0002140,1,47-3319008,8541490077,"Photosensitive semiconductor devices, other",2025-03-21,2025-03-23,2500,No.,150000.00,0,37500.00,0,0,519.60,187.50,0,0,CN,Y
APX-0002048,1,47-3319008,8483300052,Bearing housings; plain shaft bearings,2025-09-19,2025-09-22,250,No.,8750.00,393.75,2187.50,0,0,30.31,10.94,0,0,CN,N
APX-0002084,1,47-3319008,7616995168,"Articles of aluminum, other",2021-04-04,2021-04-07,1500,No.,135000.00,3375.00,10125.00,0,0,467.64,168.75,0,0,CN,Y
APX-0002092,1,47-3319008,8504404088,Static converters: rectifiers and rectifying apparatus,2024-08-04,2024-08-08,400,No.,24000.00,360.00,6000.00,0,0,83.14,30.00,0,0,CN,Y
APX-0002040,1,47-3319008,8542310031,Electronic integrated circuits: processors and controllers,2021-10-03,2021-10-05,1000,No.,60000.00,0,15000.00,0,0,207.84,75.00,0,0,CN,Y
APX-0002121,1,47-3319008,8537100031,"Boards/panels for electric control, <= 1,000 V",2021-09-06,2021-09-10,2500,No.,1200000.00,32400.00,300000.00,0,0,4156.80,1500.00,0,0,CN,Y
APX-0002098,1,47-3319008,9013809081,"Liquid crystal devices, other optical appliances",2025-10-06,2025-10-08,2500,No.,37500.00,1687.50,2812.50,9375.00,0,129.90,46.88,0,0,CN,N
APX-0002031,1,47-3319008,8471300196,Portable automatic data processing machines (laptops),2023-02-24,2023-02-27,400,No.,8800.00,0,1760.00,0,0,30.48,11.00,0,0,CN,Y
APX-0002214,1,47-3319008,9013809004,"Liquid crystal devices, other optical appliances",2024-10-09,2024-10-12,600,No.,132000.00,5940.00,9900.00,0,0,457.25,165.00,0,0,CN,Y
APX-0002007,1,47-3319008,8533210012,"Fixed resistors, for a power handling capacity <= 20 W",2023-05-31,2023-06-02,1500,No.,90000.00,0,22500.00,0,0,311.76,112.50,0,0,CN,Y
APX-0002195,1,47-3319008,8538903064,Printed circuit assemblies for switchgear,2024-02-15,2024-02-15,1500,No.,330000.00,0,82500.00,0,0,1143.12,412.50,0,0,CN,Y
APX-0002186,1,47-3319008,8481900014,"Parts of taps, cocks, valves and similar appliances",2026-04-15,2026-04-20,1500,No.,12000.00,120.00,3000.00,0,0,41.57,15.00,0,0,CN,Y
APX-0002127,1,47-3319008,8473301163,"Parts and accessories of ADP machines, printed circuit assemblies",2023-09-08,2023-09-08,50,No.,1100.00,0,275.00,0,0,3.81,1.38,0,0,CN,Y
APX-0002201,1,47-3319008,8409910083,Parts for spark-ignition internal combustion engines,2024-03-16,2024-03-20,1500,No.,33000.00,825.00,8250.00,0,0,114.31,41.25,0,0,CN,Y
APX-0002075,1,47-3319008,8482990003,Parts of ball or roller bearings,2024-01-13,2024-01-16,1500,No.,1350000.00,39150.00,337500.00,0,0,4676.40,1687.50,0,0,CN,Y
APX-0002018,1,47-3319008,8538903025,Printed circuit assemblies for switchgear,2025-02-22,2025-02-26,250,No.,22500.00,0,5625.00,0,0,77.94,28.13,0,0,CN,Y
APX-0002142,1,47-3319008,7604290017,"Aluminum bars, rods and profiles, other",2022-08-08,2022-08-10,100,No.,800.00,40.00,60.00,0,80.00,2.77,1.00,0,0,CN,Y
APX-0002045,1,47-3319008,8538900020,"Parts for switching/protecting electrical circuits, other",2024-10-29,2024-10-29,2500,No.,1200000.00,42000.00,300000.00,0,120000.00,4156.80,1500.00,0,0,CN,Y
APX-0002064,1,47-3319008,9403200049,Other metal furniture,2022-03-28,2022-03-28,2500,No.,350000.00,0,87500.00,0,0,1212.40,437.50,0,0,CN,Y
APX-0002003,1,47-3319008,8528590089,"Monitors, other (not incorporating TV reception apparatus)",2022-06-06,2022-06-08,1500,No.,135000.00,6750.00,33750.00,0,0,467.64,168.75,0,0,CN,Y
APX-0002162,1,47-3319008,8536509093,"Switches for a voltage not exceeding 1,000 V, other",2024-06-23,2024-06-26,600,No.,132000.00,3564.00,33000.00,0,13200.00,457.25,165.00,0,0,CN,Y
APX-0002081,1,47-3319008,8538903077,Printed circuit assemblies for switchgear,2026-04-12,2026-04-16,100,No.,2200.00,0,550.00,0,0,7.62,2.75,0,0,CN,Y
APX-0002118,1,47-3319008,9403200062,Other metal furniture,2026-04-30,2026-05-02,100,No.,800.00,0,200.00,0,0,2.77,1.00,0,0,CN,Y
APX-0002079,1,47-3319008,8536509096,"Switches for a voltage not exceeding 1,000 V, other",2021-12-27,2021-12-28,50,No.,1750.00,47.25,437.50,0,0,6.06,2.19,0,0,CN,Y
APX-0002206,1,47-3319008,8528720088,"Reception apparatus for television, color",2021-02-11,2021-02-12,250,No.,55000.00,0,13750.00,0,0,190.52,68.75,0,0,CN,Y
APX-0002183,1,47-3319008,8504407095,Static converters: power supplies for ADP machines,2021-08-05,2021-08-09,1500,No.,33000.00,0,8250.00,0,0,114.31,41.25,0,0,CN,Y
APX-0002013,1,47-3319008,8504404046,Static converters: rectifiers and rectifying apparatus,2023-09-23,2023-09-23,400,No.,8800.00,132.00,2200.00,0,0,30.48,11.00,0,0,CN,Y
